Model,MAE,MSE,RMSE,R2 Score
Gradient Boosting,6.101311850394317,67.18633362990342,8.196727007159835,0.7177929490882299
KNN,6.611080799999998,80.75346334799998,8.986293081577074,0.6608060670807651
Random Forest,6.680898410896553,82.14973983509235,9.063649366292385,0.6549411977183386
Decision Tree,8.365738582286195,135.2594896796586,11.63011133565189,0.4318609212910204
